모델명,변수묶음,분할방식,AUC,PR-AUC,Recall,F1,편차,best_F1,best_임계값,학습시간,전처리버전,행수,시각,메모
로지스틱(숫자만),B셋,랜덤,0.7667,0.6769,0.6859,0.6495,0.0,0.66,0.403,0.2s,v1.2,67112,08-27 15:05,영어 서브셋 기준선
로지스틱(숫자만),B셋,게임(5),0.712,0.6253,0.6484,0.6143,0.0442,0.6398,0.381,0.8s,v1.2,67112,08-27 15:05,영어 서브셋 기준선
부스팅(숫자만),B셋,랜덤,0.8129,0.7494,0.6318,0.6714,0.0,0.6941,0.347,0.7s,v1.2,67112,08-27 15:21,참조 — 표 데이터 강자
부스팅(숫자만),B셋,게임(5),0.7504,0.6746,0.5752,0.6045,0.0413,0.6566,0.288,2.9s,v1.2,67112,08-27 15:21,참조 — 표 데이터 강자
MLP(숫자만),B셋,랜덤,0.8068,0.7387,0.6098,0.6595,0.0,0.6889,0.319,3.4s,v1.2,67112,08-27 15:21,DL(1) 통제군
MLP(숫자만),B셋,게임(5),0.7056,0.6296,0.5233,0.5528,0.062,0.6327,0.246,10.0s,v1.2,67112,08-27 15:21,DL(1) 통제군
MLP(숫자+글),B셋+글,랜덤,0.7749,0.6984,0.5783,0.6249,0.0,0.6614,0.331,3.8s,v1.2,67112,08-27 15:21,DL(2) 핵심 실험
MLP(숫자+글),B셋+글,게임(5),0.7244,0.6456,0.5172,0.5706,0.0293,0.6312,0.281,17.2s,v1.2,67112,08-27 15:21,DL(2) 핵심 실험
MLP(글만),글만,랜덤,0.7047,0.6265,0.5226,0.5578,0.0,0.6159,0.324,2.3s,v1.2,67112,08-27 15:22,진단
MLP(글만),글만,게임(5),0.6611,0.5725,0.4199,0.4796,0.0272,0.594,0.295,10.8s,v1.2,67112,08-27 15:22,진단
MLP(숫자+글PCA64),B셋+글64,랜덤,0.777,0.7052,0.6026,0.634,0.0,0.666,0.335,2.0s,v1.2,67112,08-27 15:22,DL(2) 개선안
MLP(숫자+글PCA64),B셋+글64,게임(5),0.7295,0.6522,0.583,0.5973,0.0282,0.6395,0.309,8.8s,v1.2,67112,08-27 15:22,DL(2) 개선안
부스팅(숫자+글PCA64),B셋+글64,랜덤,0.8102,0.747,0.6337,0.6703,0.0,0.6934,0.363,1.2s,v1.2,67112,08-27 15:23,가장 센 모델에 글 추가
부스팅(숫자+글PCA64),B셋+글64,게임(5),0.7567,0.6836,0.592,0.6152,0.0408,0.6621,0.317,4.5s,v1.2,67112,08-27 15:23,가장 센 모델에 글 추가
